line name	trials
1271	2011_9K_NB_allplates
1692	2011_9K_NB_allplates
2695	2011_9K_NB_allplates
3918	2011_9K_NB_allplates
3995	2011_9K_NB_allplates
3997	2011_9K_NB_allplates
4021	2011_9K_NB_allplates
4041	2011_9K_NB_allplates
4633	2011_9K_NB_allplates
6065	2011_9K_NB_allplates
6699	2011_9K_NB_allplates
6995	2011_9K_NB_allplates
10596	2011_9K_NB_allplates
11007	2011_9K_NB_allplates
10247|PI71075	2011_9K_NB_allplates
ABI_JOU	2011_9K_NB_allplates
ABLYN	2011_9K_NB_allplates
B120-247-8	2011_9K_NB_allplates
BARI	2011_9K_NB_allplates
BARLEY_MINNESOTA331	2011_9K_NB_allplates
C.P.I.28364	2011_9K_NB_allplates
C18A	2011_9K_NB_allplates
CALIFORNIA_FEED	2011_9K_NB_allplates
CEBADA_PARAGUAY|PI119925	2011_9K_NB_allplates
CHELIFF	2011_9K_NB_allplates
CI13743	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
CI14319	2011_9K_NB_allplates
CI3230	2011_9K_NB_allplates
CI4207	2011_9K_NB_allplates
CI4264	2011_9K_NB_allplates
CI6294	2011_9K_NB_allplates
CI7624	2011_9K_NB_allplates
CIHO14052	2011_9K_NB_allplates
DONNES_CYG	2011_9K_NB_allplates
ELS6402-317	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
ESCOURGEON1/2HATIF_DES_TOURETTES	2011_9K_NB_allplates
GAW48-12	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
GSM-11	2011_9K_NB_allplates
H-2227	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
HERSE	2011_9K_NB_allplates
HOR1130	2011_9K_NB_allplates
HOR1253	2011_9K_NB_allplates
HOR1379	2011_9K_NB_allplates
HOR384	2011_9K_NB_allplates
HOR4181	2011_9K_NB_allplates
IAR/B/239-1	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
IAR/B/328-3	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
INUMO_O	2011_9K_NB_allplates
IV/1	2011_9K_NB_allplates
IV/155	2011_9K_NB_allplates
JAO_CHARPALU	2011_9K_NB_allplates
JEBALI|CIHO15349	2011_9K_NB_allplates
JEBALI|CIHO15362	2011_9K_NB_allplates
JOW|PI223883	2011_9K_NB_allplates
KHARTUM	2011_9K_NB_allplates
KUBI	2011_9K_NB_allplates
MARS|PI362207	2011_9K_NB_allplates
MASHU_MUGI	2011_9K_NB_allplates
MCU3486	2011_9K_NB_allplates
MCU3559	2011_9K_NB_allplates
MCU3686	2011_9K_NB_allplates
MOR12/6	2011_9K_NB_allplates
N50	2011_9K_NB_allplates
ORAZIO	2011_9K_NB_allplates
OZIERY	2011_9K_NB_allplates
PI270692	2011_9K_NB_allplates
PI447100	2011_9K_NB_allplates
PI94875	2011_9K_NB_allplates
QB139.17	2011_9K_NB_allplates
QB709.4	2011_9K_NB_allplates
RNB-132	2011_9K_NB_allplates
RNB-379	2011_9K_NB_allplates
S3192	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
SANGATSUKO	2011_9K_NB_allplates
SUCCESS	2011_9K_NB_allplates
TAI_YUAN_LIU_CAO_DA_MAI	2011_9K_NB_allplates
TAIJU_OMUGI	2011_9K_NB_allplates
