Gene Name,Abrevation,Accession_ID,Gene_Ch,Gene_Start,Gene_End,Gene_mid,Gene_jitter,Organism,Cultivar,9k-SNPs_in this gene,SNP_Coding/non-coding,SNP_chr,SNP_physical_POS,Notes
,,,,,,,,,,,,,,
CMF10,CMF10,JQ791225.1,1H,273603117,273604808,273603962.5,,Hordeum vulgare subsp. vulgare ,OWB-R ,NO,NA,NA,NA,
,,,,,,,,,,,,,,
SOC1,SOC1,JN673265.1,1H,383217117,383217302,383217209.5,,Hordeum vulgare subsp. vulgare,NO,NO,NA,NA,NA,
,,,,,,,,,,,,,,
HvCO9 gene for CO-like protein,HvCO9,AB592331.1,1H,411254540,411258188,411256364,,Hordeum vulgare subsp. vulgare ,Steptoe,12_30892,NA,chr1H   ,411257936,
,,,,,,,,,,,,,,
Ppd-H2/HvFT3,Ppd-H2/HvFT3,HM133570.1,1H,514098895,514100815,514099855,,Hordeum vulgare subsp. vulgare,Alexis,SCRI_RS_142282,NA,chr1H   ,514098364,532 bp away from interval
,,,,,,,,,,,,,,
Esp1L/HvELF3/eam8,HvELF3,JN180296.1,1H,556899868,556904950,556902409,,Hordeum vulgare subsp. vulgare,NO,SCRI_RS_154621,NA,chr1H   ,556905464,514 bp away from interval
,,,,,,,,,,,,,,
PpdH1,PpdH1,AY970701.1,2H,29123913,29127452,29125682.5,,Hordeum vulgare subsp. vulgare,_Igri,BK_13,NA,chr2H   ,29126530,
,,,,,,,,,,,,,,
FT-like protein 4 ,FT4,DQ411320.1,2H,68833838,68836379,68835108.5,,Hordeum vulgare subsp. vulgare ,Morex ,NO,NA,NA,NA,
,,,,,,,,,,,,,,
CONSTANS-like protein4,CO4,AF490475.1,2H,357491150,357491357,357491253.5,,Hordeum vulgare subsp. vulgare ,Morex ,NO,NA,NA,NA,
,,,,,,,,,,,,,,
eps2/HvCEN/eam6,eps2/HvCEN,JX844786.1,2H,523377984,523378641,523378312.5,,Hordeum vulgare subsp. vulgare ,BowmanIPK,NO,NA,NA,NA,
,,,,,,,,,,,,,,
CONSTANS-like protein4,CO4,AF490474.1,2H,620631439,620632159,620631799,,Hordeum vulgare subsp. vulgare,_Igri,NO,NA,NA,NA,
,,,,,,,,,,,,,,
 HvAP2(Zeo),HvAP2,KC898651.1,2H,730026347,730029981,730028164,,Hordeum vulgare subsp. vulgare ,Ertr67,NO,NA,NA,NA,
